date,j
2016-01-07,16
2016-01-10,2
2016-01-14,3
2016-01-17,16
2016-01-21,9
2016-01-24,20
2016-01-28,11
2016-01-31,7
2016-02-04,1
2016-02-07,5
2016-02-11,9
2016-02-14,20
2016-02-18,20
2016-02-21,17
2016-02-25,15
2016-02-28,11
2016-03-03,2
2016-03-06,5
2016-03-06,18
2016-03-10,17
2016-03-13,7
2016-03-17,20
2016-03-20,16
2016-03-24,2
2016-03-27,18
2016-03-31,1
2016-04-03,4
2016-04-07,1
2016-04-10,16
2016-04-14,20
2016-04-17,3
2016-04-21,15
2016-04-24,11
2016-05-01,2
2016-05-01,2
2016-05-05,11
2016-05-08,6
2016-05-12,3
2016-05-15,1
2016-05-19,9
2016-05-22,11
2016-05-26,2
2016-05-29,7
2016-06-02,18
2016-06-05,5
2016-06-09,4
2016-06-12,2
2016-06-16,11
2016-06-19,9
2016-06-23,11
2016-06-26,10
2016-06-30,14
2016-07-03,14
2016-07-07,18
2016-07-10,12
2016-07-14,9
2016-07-17,9
2016-07-21,12
2016-07-24,19
2016-07-28,16
2016-07-31,16
2016-08-04,14
2016-08-07,5
2016-08-11,2
2016-08-14,9
2016-08-18,18
2016-08-21,6
2016-08-25,20
2016-08-28,3
2016-09-01,11
2016-09-04,16
2016-09-08,10
2016-09-11,2
2016-09-15,7
2016-09-18,11
2016-09-18,5
2016-09-22,6
2016-09-25,9
2016-09-29,5
2016-10-02,6
2016-10-06,5
2016-10-09,8
2016-10-13,1
2016-10-16,3
2016-10-20,4
2016-10-23,17
2016-10-27,14
2016-10-30,17
2016-11-03,10
2016-11-06,10
2016-11-10,2
2016-11-13,11
2016-11-17,12
2016-11-20,10
2016-11-24,1
2016-11-27,1
2016-12-04,3
2016-12-08,17
2016-12-11,1
2016-12-15,15
2016-12-18,17
2016-12-22,18
2016-12-31,7
2016-12-31,1
2017-01-05,10
2017-01-08,4
2017-01-12,13
2017-01-15,19
2017-01-19,20
2017-01-22,8
2017-01-26,15
2017-01-29,17
2017-02-02,14
2017-02-05,17
2017-02-09,5
2017-02-12,14
2017-02-16,18
2017-02-19,6
2017-02-23,8
2017-02-26,12
2017-03-02,6
2017-03-05,6
2017-03-05,2
2017-03-09,20
2017-03-12,17
2017-03-16,4
2017-03-19,16
2017-03-23,11
2017-03-26,14
2017-03-30,8
2017-04-02,19
2017-04-06,5
2017-04-09,10
2017-04-16,7
2017-04-16,1
2017-04-20,11
2017-04-23,8
2017-04-27,13
2017-04-30,5
2017-05-04,19
2017-05-07,6
2017-05-11,13
2017-05-14,4
2017-05-18,5
