date,n1,n2,n3,n4,n5,j,weekd,avg,idx
2016-01-07,33,17,20,22,4,16,Thursday,19.2,1
2016-01-10,35,41,28,37,25,2,Sunday,33.2,2
2016-01-14,33,3,28,41,32,3,Thursday,27.4,3
2016-01-17,20,26,5,38,18,16,Sunday,21.4,4
2016-01-21,27,2,4,10,11,9,Thursday,10.8,5
2016-01-24,24,44,32,8,27,20,Sunday,27.0,6
2016-01-28,5,42,36,8,11,11,Thursday,20.4,7
2016-01-31,23,18,24,20,13,7,Sunday,19.6,8
2016-02-04,26,23,44,9,40,1,Thursday,28.4,9
2016-02-07,18,11,12,4,8,5,Sunday,10.6,10
2016-02-11,2,33,40,17,38,9,Thursday,26.0,11
2016-02-14,35,34,43,20,24,20,Sunday,31.2,12
2016-02-18,19,41,25,34,24,20,Thursday,28.6,13
2016-02-21,11,39,1,42,24,17,Sunday,23.4,14
2016-02-25,45,5,8,41,14,15,Thursday,22.6,15
2016-02-28,20,30,27,17,16,11,Sunday,22.0,16
2016-03-03,33,8,14,10,3,2,Thursday,13.6,17
2016-03-06,26,27,17,37,33,5,Sunday,28.0,18
2016-03-06,22,26,35,8,19,18,Sunday,22.0,19
2016-03-10,39,44,19,6,36,17,Thursday,28.8,20
2016-03-13,7,29,42,20,17,7,Sunday,23.0,21
2016-03-17,40,7,1,38,39,20,Thursday,25.0,22
2016-03-20,31,23,33,42,44,16,Sunday,34.6,23
2016-03-24,2,9,32,40,27,2,Thursday,22.0,24
2016-03-27,28,30,9,32,42,18,Sunday,28.2,25
2016-03-31,32,45,33,27,8,1,Thursday,29.0,26
2016-04-03,19,29,3,17,37,4,Sunday,21.0,27
2016-04-07,21,27,18,33,45,1,Thursday,28.8,28
2016-04-10,24,25,3,40,39,16,Sunday,26.2,29
2016-04-14,28,35,36,6,24,20,Thursday,25.8,30
2016-04-17,14,43,20,30,24,3,Sunday,26.2,31
2016-04-21,10,19,26,23,39,15,Thursday,23.4,32
2016-04-24,28,20,23,3,24,11,Sunday,19.6,33
2016-05-01,42,17,11,20,16,2,Sunday,21.2,34
2016-05-01,44,24,15,41,5,2,Sunday,25.8,35
2016-05-05,18,12,11,16,39,11,Thursday,19.2,36
2016-05-08,11,41,37,34,7,6,Sunday,26.0,37
2016-05-12,40,7,8,43,34,3,Thursday,26.4,38
2016-05-15,35,37,13,41,31,1,Sunday,31.4,39
2016-05-19,34,29,21,42,19,9,Thursday,29.0,40
2016-05-22,38,34,37,35,17,11,Sunday,32.2,41
2016-05-26,19,23,37,43,38,2,Thursday,32.0,42
2016-05-29,36,11,6,18,10,7,Sunday,16.2,43
2016-06-02,40,38,30,31,23,18,Thursday,32.4,44
2016-06-05,3,28,36,23,45,5,Sunday,27.0,45
2016-06-09,3,11,10,31,35,4,Thursday,18.0,46
2016-06-12,6,45,3,21,40,2,Sunday,23.0,47
2016-06-16,21,3,37,39,7,11,Thursday,21.4,48
2016-06-19,10,2,41,16,19,9,Sunday,17.6,49
2016-06-23,12,45,30,6,2,11,Thursday,19.0,50
2016-06-26,11,40,7,20,17,10,Sunday,19.0,51
2016-06-30,25,40,31,39,32,14,Thursday,33.4,52
2016-07-03,4,41,43,17,29,14,Sunday,26.8,53
2016-07-07,23,1,31,36,12,18,Thursday,20.6,54
2016-07-10,7,38,36,31,6,12,Sunday,23.6,55
2016-07-14,19,11,20,34,27,9,Thursday,22.2,56
2016-07-17,42,14,28,22,36,9,Sunday,28.4,57
2016-07-21,24,16,10,39,1,12,Thursday,18.0,58
2016-07-24,12,33,32,45,4,19,Sunday,25.2,59
2016-07-28,8,35,11,17,42,16,Thursday,22.6,60
2016-07-31,8,45,2,42,5,16,Sunday,20.4,61
2016-08-04,20,19,29,17,32,14,Thursday,23.4,62
2016-08-07,24,41,33,15,16,5,Sunday,25.8,63
2016-08-11,21,32,36,13,15,2,Thursday,23.4,64
